RefexSampleId	Description	NumberOfSamples	Ecotype	Genotype	Age	DevelopmentalStage	OrganismPart	SamplingSite
RES00003791	flower stage 15, sepal	1	Col-0	wild type genotype	28 to 35	flower stage 15	sepal	NA
RES00003792	adult, stem node, first node	1	Col-0	wild type genotype	30	adult	stem node	first node
RES00003793	adult, stem internode, second internode	1	Col-0	wild type genotype	30	adult	stem internode	second internode
RES00003794	adult, cauline leaf	1	Col-0	wild type genotype	30	adult	cauline leaf	NA
RES00003795	adult, rosette leaf, rosette leaf 7 distal part	1	Col-0	wild type genotype	22	adult	rosette leaf	rosette leaf 7 distal part
RES00003796	adult, rosette leaf, rosette leaf 7 proximal part	1	Col-0	wild type genotype	22	adult	rosette leaf	rosette leaf 7 proximal part
RES00003797	adult, petiole, rosette leaf 7 petiole	1	Col-0	wild type genotype	22	adult	petiole	rosette leaf 7 petiole
RES00003798	adult, adult vascular leaf	1	Col-0	wild type genotype	35	adult	adult vascular leaf	NA
RES00003799	adult, root	1	Col-0	wild type genotype	22	adult	root	NA
RES00003800	flower stage 15, flower pedicel	1	Col-0	wild type genotype	28 to 35	flower stage 15	flower pedicel	NA
RES00003801	flower stage 15, flower	1	Col-0	wild type genotype	28 to 35	flower stage 15	flower	NA
RES00003802	flower stage 15, petal	1	Col-0	wild type genotype	28 to 35	flower stage 15	petal	NA
RES00003803	adult, fruit septum	1	Col-0	wild type genotype	35 to 42	adult	fruit septum	NA
RES00003804	adult, fruit valve	1	Col-0	wild type genotype	35 to 42	adult	fruit valve	NA
RES00003805	cell culture, root, Age 3	1	Col-0	wild type genotype	3	cell culture	root	NA
RES00003806	cell culture, root, Age 10	1	Col-0	wild type genotype	10	cell culture	root	NA
RES00003807	seedling, cotyledon	1	Col-0	wild type genotype	7	seedling	cotyledon	NA
RES00003808	seedling, hypocotyl	1	Col-0	wild type genotype	7	seedling	hypocotyl	NA
RES00003809	seedling, root tip	1	Col-0	wild type genotype	7	seedling	root tip	NA
RES00003810	seedling, root tip, upper zone	1	Col-0	wild type genotype	7	seedling	root tip	upper zone
RES00003811	flower stage 15, stamen	1	Col-0	wild type genotype	28 to 35	flower stage 15	stamen	NA
RES00003812	seedling, mixed shoot apical meristem, cotyledon and first leaves	1	Col-0	wild type genotype	7	seedling	mixed shoot apical meristem, cotyledon and first leaves	NA
RES00003813	adult, cotyledon	1	Col-0	wild type genotype	22	adult	cotyledon	NA
