RefexSampleId	NumberOfSamples	BioSample	Ecotype	Organism	Sample Name	Tissue	dev_stage	Age	Treatment
RES00003706	2	SAMN05170708	Col-0 (CS70000)	Arabidopsis thaliana	Seedling Hypocotyl (S.H)	Hypocotyl	NA	1 day	NA
RES00003707	2	SAMN05170709	Col-0 (CS70000)	Arabidopsis thaliana	Seedling Meristem (S.M)	Shoot apical meristem	NA	1 day	NA
RES00003708	2	SAMN05170710	Col-0 (CS70000)	Arabidopsis thaliana	Seedling Cotyledons (S.C)	Cotyledon	NA	1 day	NA
RES00003709	2	SAMN05170711	Col-0 (CS70000)	Arabidopsis thaliana	Seedling Root (S.R)	Root	NA	1 day	NA
RES00003710	2	SAMN05170712	Col-0 (CS70000)	Arabidopsis thaliana	Root Apex (R.A)	Root Apex	NA	7 day	NA
RES00003711	2	SAMN05170713	Col-0 (CS70000)	Arabidopsis thaliana	Root (R )	Root	NA	7 day	NA
RES00003712	2	SAMN05170714	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Petiole of the young leaf (L.PET.y)	Leaf petiole	NA	7 day	NA
RES00003713	2	SAMN05170715	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Lamina of the young leaf (L.LAM.y)	Leaf blade	NA	7 day	NA
RES00003714	2	SAMN05170716	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Petiole, intermediate 1 (L.PET.i1)	Leaf petiole	NA	9 day	NA
RES00003715	2	SAMN05170717	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Lamina, intermediate 1 (L.LAM.i1)	Leaf blade	NA	9 day	NA
RES00003716	2	SAMN05170718	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Petiole, intermediate 2 (L.PET.i2)	Leaf petiole	NA	12 day	NA
RES00003717	2	SAMN05170719	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Vein, intermediate 2 (L.VN.i2)	Leaf midrib	NA	12 day	NA
RES00003718	2	SAMN05170720	Col-0 (CS70000)	Arabidopsis thaliana	Leaf Lamina, intermediate 2 (L.LAM.i2)	Leaf blade	NA	12 day	NA
