RefexSampleId	BiosampleId	ProjectSampleId
RES00003706	SAMN05170708	SRR3581740
RES00003706	SAMN05170708	SRR3581336
RES00003707	SAMN05170709	SRR3581831
RES00003707	SAMN05170709	SRR3581346
RES00003708	SAMN05170710	SRR3581833
RES00003708	SAMN05170710	SRR3581345
RES00003709	SAMN05170711	SRR3581834
RES00003709	SAMN05170711	SRR3581347
RES00003710	SAMN05170712	SRR3581835
RES00003710	SAMN05170712	SRR3581352
RES00003711	SAMN05170713	SRR3581836
RES00003711	SAMN05170713	SRR3581356
RES00003712	SAMN05170714	SRR3581837
RES00003712	SAMN05170714	SRR3581383
RES00003713	SAMN05170715	SRR3581838
RES00003713	SAMN05170715	SRR3581388
RES00003714	SAMN05170716	SRR3581839
RES00003714	SAMN05170716	SRR3581499
RES00003715	SAMN05170717	SRR3581840
RES00003715	SAMN05170717	SRR3581591
RES00003716	SAMN05170718	SRR3581841
RES00003716	SAMN05170718	SRR3581639
RES00003717	SAMN05170719	SRR3581842
RES00003717	SAMN05170719	SRR3581672
RES00003718	SAMN05170720	SRR3581843
RES00003718	SAMN05170720	SRR3581676
RES00003719	SAMN05170721	SRR3581844
RES00003719	SAMN05170721	SRR3581678
RES00003720	SAMN05170722	SRR3581845
RES00003720	SAMN05170722	SRR3581679
RES00003721	SAMN05170723	SRR3581846
RES00003721	SAMN05170723	SRR3581680
RES00003722	SAMN05170724	SRR3581847
RES00003722	SAMN05170724	SRR3581681
RES00003723	SAMN05170725	SRR3581848
RES00003723	SAMN05170725	SRR3581682
RES00003724	SAMN05170726	SRR3581849
RES00003724	SAMN05170726	SRR3581683
RES00003725	SAMN05170727	SRR3581850
RES00003725	SAMN05170727	SRR3581684
RES00003726	SAMN05170728	SRR3581851
RES00003726	SAMN05170728	SRR3581685
RES00003727	SAMN05170729	SRR3581852
RES00003727	SAMN05170729	SRR3581686
RES00003728	SAMN05170730	SRR3581853
RES00003728	SAMN05170730	SRR3581687
RES00003729	SAMN05170731	SRR3581854
RES00003729	SAMN05170731	SRR3581688
RES00003730	SAMN05170732	SRR3581855
RES00003730	SAMN05170732	SRR3581689
RES00003731	SAMN05170733	SRR3581856
RES00003731	SAMN05170733	SRR3581690
RES00003732	SAMN05170734	SRR3581857
RES00003732	SAMN05170734	SRR3581691
RES00003733	SAMN05170735	SRR3581858
RES00003733	SAMN05170735	SRR3581692
RES00003734	SAMN05170736	SRR3581859
RES00003734	SAMN05170736	SRR3581693
RES00003735	SAMN05170737	SRR3581860
RES00003735	SAMN05170737	SRR3581694
RES00003736	SAMN05170738	SRR3581861
RES00003736	SAMN05170738	SRR3581695
RES00003737	SAMN05170739	SRR3581862
RES00003737	SAMN05170739	SRR3581696
RES00003738	SAMN05170740	SRR3581697
RES00003738	SAMN05170740	SRR3581863
RES00003739	SAMN05170741	SRR3581698
RES00003739	SAMN05170741	SRR3581864
RES00003740	SAMN05170742	SRR3581699
RES00003740	SAMN05170742	SRR3581865
RES00003741	SAMN05170743	SRR3581700
RES00003741	SAMN05170743	SRR3581866
RES00003742	SAMN05170744	SRR3581701
RES00003742	SAMN05170744	SRR3581867
RES00003743	SAMN05170745	SRR3581702
RES00003743	SAMN05170745	SRR3581868
RES00003744	SAMN05170746	SRR3581703
RES00003744	SAMN05170746	SRR3581869
RES00003745	SAMN05170747	SRR3581704
RES00003745	SAMN05170747	SRR3581870
RES00003746	SAMN05170748	SRR3581705
RES00003746	SAMN05170748	SRR3581871
RES00003747	SAMN05170749	SRR3581706
RES00003747	SAMN05170749	SRR3581872
RES00003748	SAMN05170750	SRR3581707
RES00003748	SAMN05170750	SRR3581873
RES00003749	SAMN05170751	SRR3581708
RES00003749	SAMN05170751	SRR3581874
RES00003750	SAMN05170752	SRR3581709
RES00003750	SAMN05170752	SRR3581875
RES00003751	SAMN05170753	SRR3581710
RES00003751	SAMN05170753	SRR3581876
RES00003752	SAMN05170754	SRR3581711
RES00003752	SAMN05170754	SRR3581877
RES00003753	SAMN05170755	SRR3581712
RES00003753	SAMN05170755	SRR3581878
RES00003754	SAMN05170756	SRR3581713
RES00003754	SAMN05170756	SRR3581879
RES00003755	SAMN05170757	SRR3581714
RES00003755	SAMN05170757	SRR3581880
RES00003756	SAMN05170758	SRR3581715
RES00003756	SAMN05170758	SRR3581881
RES00003757	SAMN05170759	SRR3581716
RES00003757	SAMN05170759	SRR3581882
RES00003758	SAMN05170760	SRR3581717
RES00003758	SAMN05170760	SRR3581883
RES00003759	SAMN05170761	SRR3581719
RES00003759	SAMN05170761	SRR3581884
RES00003760	SAMN05170762	SRR3581720
RES00003760	SAMN05170762	SRR3581885
RES00003761	SAMN05170763	SRR3581721
RES00003761	SAMN05170763	SRR3581886
RES00003762	SAMN05170764	SRR3581724
RES00003762	SAMN05170764	SRR3581887
RES00003763	SAMN05170765	SRR3581726
RES00003763	SAMN05170765	SRR3581888
RES00003764	SAMN05170766	SRR3581727
RES00003764	SAMN05170766	SRR3581889
RES00003765	SAMN05170767	SRR3581728
RES00003765	SAMN05170767	SRR3581890
RES00003766	SAMN05170768	SRR3581730
RES00003766	SAMN05170768	SRR3581891
RES00003767	SAMN05170769	SRR3581731
RES00003767	SAMN05170769	SRR3581892
RES00003768	SAMN05170770	SRR3581732
RES00003768	SAMN05170770	SRR3581893
RES00003769	SAMN05170771	SRR3581733
RES00003769	SAMN05170771	SRR3581894
RES00003770	SAMN05170772	SRR3581734
RES00003770	SAMN05170772	SRR3581895
RES00003771	SAMN05170773	SRR3581735
RES00003771	SAMN05170773	SRR3581896
RES00003772	SAMN05170774	SRR3581736
RES00003772	SAMN05170774	SRR3581897
RES00003773	SAMN05170775	SRR3581737
RES00003773	SAMN05170775	SRR3581898
RES00003774	SAMN05170776	SRR3581738
RES00003774	SAMN05170776	SRR3581899
RES00003775	SAMN05300263	SRR3724649
RES00003775	SAMN05300263	SRR3724650
RES00003776	SAMN05300264	SRR3724651
RES00003776	SAMN05300264	SRR3724652
RES00003777	SAMN05300265	SRR3724663
RES00003777	SAMN05300265	SRR3724668
RES00003778	SAMN05300266	SRR3724737
RES00003778	SAMN05300266	SRR3724738
RES00003779	SAMN05300267	SRR3724739
RES00003779	SAMN05300267	SRR3724741
RES00003780	SAMN05300268	SRR3724768
RES00003780	SAMN05300268	SRR3724774
RES00003781	SAMN05300269	SRR3724778
RES00003781	SAMN05300269	SRR3724782
RES00003782	SAMN05300270	SRR3724785
RES00003782	SAMN05300270	SRR3724786
RES00003783	SAMN05300271	SRR3724787
RES00003783	SAMN05300271	SRR3724798
RES00003784	SAMN05300272	SRR3724806
RES00003784	SAMN05300272	SRR3724814
RES00003785	SAMN05300273	SRR3725446
RES00003785	SAMN05300273	SRR3725458
RES00003786	SAMN05300274	SRR3725471
RES00003786	SAMN05300274	SRR3725482
RES00003787	SAMN05300275	SRR3725493
RES00003787	SAMN05300275	SRR3725503
RES00003788	SAMN05300276	SRR3725516
RES00003788	SAMN05300276	SRR3725527
RES00003789	SAMN05300277	SRR3725538
RES00003789	SAMN05300277	SRR3725550
RES00003790	SAMN05300278	SRR3725560
RES00003790	SAMN05300278	SRR3725561
