Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_developmental_stage (exp),Experimental_Factor:_organism_part (exp),Experimental_Factor:_sampling_site (exp),External_Id,Genotype,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_part,Organism,Platform,ReleaseDate,Sample Name,Sample_name,SRA Study,Submitter_Id,Sampling_site
ERR3333388,28 to 35,RNA-Seq,152,6340438472,PRJEB32665,SAMEA5618890,ArrayExpress,2132139869,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358103,flower stage 15,sepal,not applicable,SAMEA5618890,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 1_p,PAIRED,PolyA,TRANSCRIPTOMIC,sepal,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618890,E-MTAB-7978:Sample 1,ERP115370,E-MTAB-7978:Sample 1,
ERR3333389,30,RNA-Seq,152,5232597416,PRJEB32665,SAMEA5618891,ArrayExpress,1762831107,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358104,adult,stem node,first node,SAMEA5618891,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 10_p,PAIRED,PolyA,TRANSCRIPTOMIC,stem node,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618891,E-MTAB-7978:Sample 10,ERP115370,E-MTAB-7978:Sample 10,first node
ERR3333390,30,RNA-Seq,152,5824437232,PRJEB32665,SAMEA5618892,ArrayExpress,1955283655,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358105,adult,stem internode,second internode,SAMEA5618892,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 11_p,PAIRED,PolyA,TRANSCRIPTOMIC,stem internode,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618892,E-MTAB-7978:Sample 11,ERP115370,E-MTAB-7978:Sample 11,second internode
ERR3333391,30,RNA-Seq,152,6889502296,PRJEB32665,SAMEA5618893,ArrayExpress,2347191640,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358106,adult,cauline leaf,not applicable,SAMEA5618893,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 12_p,PAIRED,PolyA,TRANSCRIPTOMIC,cauline leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618893,E-MTAB-7978:Sample 12,ERP115370,E-MTAB-7978:Sample 12,
ERR3333392,22,RNA-Seq,152,5992012368,PRJEB32665,SAMEA5618894,ArrayExpress,2038254279,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358107,adult,rosette leaf,rosette leaf 7 distal part,SAMEA5618894,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 13_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618894,E-MTAB-7978:Sample 13,ERP115370,E-MTAB-7978:Sample 13,rosette leaf 7 distal part
ERR3333393,22,RNA-Seq,152,5813569688,PRJEB32665,SAMEA5618895,ArrayExpress,1961074828,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358108,adult,rosette leaf,rosette leaf 7 proximal part,SAMEA5618895,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 14_p,PAIRED,PolyA,TRANSCRIPTOMIC,rosette leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618895,E-MTAB-7978:Sample 14,ERP115370,E-MTAB-7978:Sample 14,rosette leaf 7 proximal part
ERR3333394,22,RNA-Seq,152,5625568640,PRJEB32665,SAMEA5618896,ArrayExpress,1902112551,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358109,adult,petiole,rosette leaf 7 petiole,SAMEA5618896,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 15_p,PAIRED,PolyA,TRANSCRIPTOMIC,petiole,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618896,E-MTAB-7978:Sample 15,ERP115370,E-MTAB-7978:Sample 15,rosette leaf 7 petiole
ERR3333395,35,RNA-Seq,152,5594477648,PRJEB32665,SAMEA5618897,ArrayExpress,1889454954,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358110,adult,adult vascular leaf,not applicable,SAMEA5618897,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 16_p,PAIRED,PolyA,TRANSCRIPTOMIC,adult vascular leaf,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618897,E-MTAB-7978:Sample 16,ERP115370,E-MTAB-7978:Sample 16,
ERR3333396,22,RNA-Seq,152,5717194088,PRJEB32665,SAMEA5618898,ArrayExpress,1875782041,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358111,adult,root,not applicable,SAMEA5618898,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 17_p,PAIRED,PolyA,TRANSCRIPTOMIC,root,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618898,E-MTAB-7978:Sample 17,ERP115370,E-MTAB-7978:Sample 17,
ERR3333397,28 to 35,RNA-Seq,152,5709574784,PRJEB32665,SAMEA5618899,ArrayExpress,1881053490,"Chair of Plant Systems Biology, TUM, Germany",thale cress,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",flower stage 15,Col-0,2020-01-10,2020-01-10,2019-05-20,2019-05-20,ERX3358112,flower stage 15,flower pedicel,not applicable,SAMEA5618899,wild type genotype,TUM,Technical University Munich,2020-01-10T18:10:22Z,2019-05-20T14:08:18Z,public,Illumina HiSeq 2500,Sample 18_p,PAIRED,PolyA,TRANSCRIPTOMIC,flower pedicel,Arabidopsis thaliana,ILLUMINA,2020-01-11T00:00:00Z,SAMEA5618899,E-MTAB-7978:Sample 18,ERP115370,E-MTAB-7978:Sample 18,
