Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,dev_stage,Age
SRR3581697,RNA-Seq,50,1208202100,PRJNA314076,SAMN05170740,Plant,810456582,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795938,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flower 5 (F5),SRP075604,Flower 5,anthesis of the first flower,
SRR3581698,RNA-Seq,50,1238221850,PRJNA314076,SAMN05170741,Plant,831515769,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795952,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 6-8 (F6-8),SRP075604,Flower 6-8,anthesis of the first flower,
SRR3581699,RNA-Seq,50,1351832100,PRJNA314076,SAMN05170742,Plant,861830221,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795953,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 9-11 (F9-11),SRP075604,Flower 9-11,anthesis of the first flower,
SRR3581700,RNA-Seq,50,1361022200,PRJNA314076,SAMN05170743,Plant,906171812,MOSCOW STATE UNIVERSITY,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795955,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 12-14 (F12-14),SRP075604,Flower 12-14,anthesis of the first flower,
SRR3581701,RNA-Seq,50,1463930950,PRJNA314076,SAMN05170744,Plant,993187463,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795956,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 15-18 (F15-18),SRP075604,Flower 15-18,anthesis of the first flower,
SRR3581702,RNA-Seq,50,1272480700,PRJNA314076,SAMN05170745,Plant,849587048,MOSCOW STATE UNIVERSITY,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795958,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Flowers 19 and following (F19+),SRP075604,Inflorescence,anthesis of the first flower,
SRR3581703,RNA-Seq,50,1197703050,PRJNA314076,SAMN05170746,Plant,797931275,MOSCOW STATE UNIVERSITY,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795961,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Pedicel (PED),SRP075604,Pedicel,anthesis of the first flower,
SRR3581704,RNA-Seq,50,1216568700,PRJNA314076,SAMN05170747,Plant,779612254,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795967,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Axis of the inflorescence (AX),SRP075604,Inflorescence axis,anthesis of the first flower,
SRR3581705,RNA-Seq,50,1201032200,PRJNA314076,SAMN05170748,Plant,773893303,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Col-0 (CS70000),SRX1795972,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Internode (IN),SRP075604,Internode,anthesis of the first flower,
SRR3581706,RNA-Seq,50,1674817700,PRJNA314076,SAMN05170749,Plant,1164335550,MOSCOW STATE UNIVERSITY,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Col-0 (CS70000),SRX1795973,Russia,Europe,Russia: Moscow,Illumina HiSeq 2000,,SINGLE,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-08-26T00:00:00Z,Seeds 1 (SD1),SRP075604,Seed 1,first silique is 1-1.5 cm long (abscission of the 8th flower),
