Run,BioSample,Ecotype,Organism,Sample Name,Tissue,dev_stage,Age,Treatment
SRR3581740,SAMN05170708,Col-0 (CS70000),Arabidopsis thaliana,Seedling Hypocotyl (S.H),Hypocotyl,NA,1 day,NA
SRR3581336,SAMN05170708,Col-0 (CS70000),Arabidopsis thaliana,Seedling Hypocotyl (S.H),Hypocotyl,NA,1 day,NA
SRR3581831,SAMN05170709,Col-0 (CS70000),Arabidopsis thaliana,Seedling Meristem (S.M),Shoot apical meristem,NA,1 day,NA
SRR3581346,SAMN05170709,Col-0 (CS70000),Arabidopsis thaliana,Seedling Meristem (S.M),Shoot apical meristem,NA,1 day,NA
SRR3581833,SAMN05170710,Col-0 (CS70000),Arabidopsis thaliana,Seedling Cotyledons (S.C),Cotyledon,NA,1 day,NA
SRR3581345,SAMN05170710,Col-0 (CS70000),Arabidopsis thaliana,Seedling Cotyledons (S.C),Cotyledon,NA,1 day,NA
SRR3581834,SAMN05170711,Col-0 (CS70000),Arabidopsis thaliana,Seedling Root (S.R),Root,NA,1 day,NA
SRR3581347,SAMN05170711,Col-0 (CS70000),Arabidopsis thaliana,Seedling Root (S.R),Root,NA,1 day,NA
SRR3581835,SAMN05170712,Col-0 (CS70000),Arabidopsis thaliana,Root Apex (R.A),Root Apex,NA,7 day,NA
SRR3581352,SAMN05170712,Col-0 (CS70000),Arabidopsis thaliana,Root Apex (R.A),Root Apex,NA,7 day,NA
SRR3581836,SAMN05170713,Col-0 (CS70000),Arabidopsis thaliana,Root (R ),Root,NA,7 day,NA
SRR3581356,SAMN05170713,Col-0 (CS70000),Arabidopsis thaliana,Root (R ),Root,NA,7 day,NA
SRR3581837,SAMN05170714,Col-0 (CS70000),Arabidopsis thaliana,Leaf Petiole of the young leaf (L.PET.y),Leaf petiole,NA,7 day,NA
SRR3581383,SAMN05170714,Col-0 (CS70000),Arabidopsis thaliana,Leaf Petiole of the young leaf (L.PET.y),Leaf petiole,NA,7 day,NA
SRR3581838,SAMN05170715,Col-0 (CS70000),Arabidopsis thaliana,Leaf Lamina of the young leaf (L.LAM.y),Leaf blade,NA,7 day,NA
SRR3581388,SAMN05170715,Col-0 (CS70000),Arabidopsis thaliana,Leaf Lamina of the young leaf (L.LAM.y),Leaf blade,NA,7 day,NA
SRR3581839,SAMN05170716,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Petiole, intermediate 1 (L.PET.i1)",Leaf petiole,NA,9 day,NA
SRR3581499,SAMN05170716,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Petiole, intermediate 1 (L.PET.i1)",Leaf petiole,NA,9 day,NA
SRR3581840,SAMN05170717,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Lamina, intermediate 1 (L.LAM.i1)",Leaf blade,NA,9 day,NA
SRR3581591,SAMN05170717,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Lamina, intermediate 1 (L.LAM.i1)",Leaf blade,NA,9 day,NA
SRR3581841,SAMN05170718,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Petiole, intermediate 2 (L.PET.i2)",Leaf petiole,NA,12 day,NA
SRR3581639,SAMN05170718,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Petiole, intermediate 2 (L.PET.i2)",Leaf petiole,NA,12 day,NA
SRR3581842,SAMN05170719,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Vein, intermediate 2 (L.VN.i2)",Leaf midrib,NA,12 day,NA
SRR3581672,SAMN05170719,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Vein, intermediate 2 (L.VN.i2)",Leaf midrib,NA,12 day,NA
SRR3581843,SAMN05170720,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Lamina, intermediate 2 (L.LAM.i2)",Leaf blade,NA,12 day,NA
SRR3581676,SAMN05170720,Col-0 (CS70000),Arabidopsis thaliana,"Leaf Lamina, intermediate 2 (L.LAM.i2)",Leaf blade,NA,12 day,NA
SRR3581844,SAMN05170721,Col-0 (CS70000),Arabidopsis thaliana,Leaf Petiole of the mature leaf (L.PET.lg),Leaf petiole,anthesis of the first flower,NA,NA
SRR3581678,SAMN05170721,Col-0 (CS70000),Arabidopsis thaliana,Leaf Petiole of the mature leaf (L.PET.lg),Leaf petiole,anthesis of the first flower,NA,NA
SRR3581845,SAMN05170722,Col-0 (CS70000),Arabidopsis thaliana,Leaf Vein of the mature leaf (L.VN.lg),Leaf midrib,anthesis of the first flower,NA,NA
SRR3581679,SAMN05170722,Col-0 (CS70000),Arabidopsis thaliana,Leaf Vein of the mature leaf (L.VN.lg),Leaf midrib,anthesis of the first flower,NA,NA
SRR3581846,SAMN05170723,Col-0 (CS70000),Arabidopsis thaliana,Leaf Lamina of the mature leaf (L.LAM.lg),Leaf blade,anthesis of the first flower,NA,NA
SRR3581680,SAMN05170723,Col-0 (CS70000),Arabidopsis thaliana,Leaf Lamina of the mature leaf (L.LAM.lg),Leaf blade,anthesis of the first flower,NA,NA
